subject,session_stamp,modalities_with_time,overlap_start_raw,overlap_end_raw,overlap_duration_raw,union_duration_raw,overlap_ratio_raw,status
zdq,2025_09_26_15_52_46,"vehicle,physio,eeg",1758901966.144,1758902567.5059998,601.3619997501373,601.3759999275208,0.9999767197603744,overlap_ok
zdq,2025_09_26_16_03_48,"vehicle,physio,eeg",1758902628.2510002,1758903186.1169999,557.8659996986389,557.8699998855591,0.9999928295356965,overlap_ok
zt,2025_09_28_11_20_08,"vehicle,physio,eeg",1759058409.276,1759059034.1,624.8239998817444,624.9379997253418,0.9998175821543137,overlap_ok
zx,2025_09_27_16_32_00,"vehicle,eeg",1758990720.34,1758991420.5609999,700.220999956131,700.2479999065399,0.9999614423027091,overlap_ok
zx,2025_09_27_16_46_13,"vehicle,eeg",1758991573.889,1758992283.964,710.0750000476837,710.0999999046326,0.9999647938924768,overlap_ok
zx,2025_09_27_17_14_07,"vehicle,eeg",1758993247.9580002,1758993809.542,561.5839998722076,568.7539999485016,0.9873934951192551,overlap_ok
zx,2025_09_27_17_25_16,"vehicle,eeg",1758993917.145,1758994055.7580001,138.61300015449524,138.63199996948242,0.9998629478403878,overlap_ok
zx,2025_09_27_17_29_08,"vehicle,eeg",1758994148.5470002,1758994575.057,426.5099997520447,426.5329999923706,0.999946076293449,overlap_ok
zx,2025_09_27_17_37_54,"vehicle,eeg",1758994675.393,1758994752.779,77.38600015640259,77.3989999294281,0.9998320421060044,overlap_ok
zx,2025_09_27_17_40_06,"vehicle,physio,eeg",1758994806.979,1758994821.106,14.126999855041504,14.17900013923645,0.996332584548677,overlap_ok
zx,2025_09_27_17_40_34,"vehicle,physio,eeg",1758994834.591,1758994872.812,38.22099995613098,38.2979998588562,0.9979894536788084,overlap_ok
zx,2025_09_27_17_45_11,"vehicle,physio,eeg",1758995111.582,1758995735.4099998,623.827999830246,623.8869998455048,0.9999054315680991,overlap_ok
zx,2025_09_27_17_56_42,"vehicle,physio,eeg",1758995802.467,1758995972.032,169.56500005722046,169.59899997711182,0.9997995275921677,overlap_ok
zx,2025_09_27_18_00_08,"vehicle,physio,eeg",1758996008.492,1758996388.203,379.7109999656677,379.76399993896484,0.9998604397117535,overlap_ok
zx,2025_09_27_18_07_01,"vehicle,physio,eeg",1758996422.1699998,1758997023.909,601.739000082016,601.8090002536774,0.9998836837408017,overlap_ok
zx,2025_09_27_18_17_48,"vehicle,physio,eeg",1758997068.871,1758997641.6590002,572.7880001068115,572.8280000686646,0.999930171077796,overlap_ok
zxy,2025_09_28_15_57_38,"vehicle,physio,eeg",1759075058.396,1759075259.15,200.75400018692017,200.77999997138977,0.9998705061038285,overlap_ok
zxy,2025_09_28_16_01_55,"vehicle,physio,eeg",1759075315.82,1759075878.56,562.7400000095367,562.7550001144409,0.999973345230338,overlap_ok
zxy,2025_09_28_16_12_11,"vehicle,physio,eeg",1759075932.253,1759076546.16,613.9070000648499,613.9409999847412,0.9999446202161246,overlap_ok
zxy,2025_09_28_16_25_33,"vehicle,physio,eeg",1759076738.416,1759076740.6499999,2.2339999675750732,6.832000017166138,0.3269906267508646,overlap_ok
zxy,2025_09_28_16_25_51,"vehicle,physio,eeg",1759076751.82,1759077307.9859998,556.1659998893738,556.1870000362396,0.9999622426506473,overlap_ok
zxy,2025_09_28_16_35_30,"vehicle,physio,eeg",1759077330.597,1759078129.2700002,798.6730003356934,798.6979999542236,0.9999686995353291,overlap_ok
