subject,session_stamp,vehicle_file_count,physio_file_count,eeg_file_count,vehicle_paths,physio_paths,eeg_paths,vehicle_time_min,vehicle_time_max,physio_time_min,physio_time_max,eeg_time_min,eeg_time_max,vehicle_available,physio_available,eeg_available,all_three_modalities_available
txj,2025_09_27_08_40_46,1,1,1,原始车辆数据/txj/Entity_Recording_2025_09_27_08_40_46_vehicle.csv,原始生理数据/txj/Entity_Recording_2025_09_27_08_40_46_physio.csv,原始脑电数据/txj/Entity_Recording_2025_09_27_08_40_46_eeg.csv,1758962446.992,1758963183.722,1758962446.9950001,1758963183.725,1758962447.013,1758963183.724,True,True,True,True
txj,2025_09_27_08_53_44,1,1,1,原始车辆数据/txj/Entity_Recording_2025_09_27_08_53_44_vehicle.csv,原始生理数据/txj/Entity_Recording_2025_09_27_08_53_44_physio.csv,原始脑电数据/txj/Entity_Recording_2025_09_27_08_53_44_eeg.csv,1758963224.517,1758963902.5619998,1758963224.5110002,1758963902.5619998,1758963224.535,1758963902.5609999,True,True,True,True
txj,2025_09_27_09_06_19,1,1,1,原始车辆数据/txj/Entity_Recording_2025_09_27_09_06_19_vehicle.csv,原始生理数据/txj/Entity_Recording_2025_09_27_09_06_19_physio.csv,原始脑电数据/txj/Entity_Recording_2025_09_27_09_06_19_eeg.csv,1758963979.277,1758964609.1420002,1758963979.273,1758964609.1420002,1758963979.289,1758964609.1420002,True,True,True,True
txj,2025_09_27_09_17_11,1,1,1,原始车辆数据/txj/Entity_Recording_2025_09_27_09_17_11_vehicle.csv,原始生理数据/txj/Entity_Recording_2025_09_27_09_17_11_physio.csv,原始脑电数据/txj/Entity_Recording_2025_09_27_09_17_11_eeg.csv,1758964631.388,1758965249.6590002,1758964631.384,1758965249.661,1758964631.4,1758965249.661,True,True,True,True
tyy,2025_09_28_14_23_43,1,1,1,原始车辆数据/tyy/Entity_Recording_2025_09_28_14_23_43_vehicle.csv,原始生理数据/tyy/Entity_Recording_2025_09_28_14_23_43_physio.csv,原始脑电数据/tyy/Entity_Recording_2025_09_28_14_23_43_eeg.csv,1759069423.705,1759070327.19,1759069423.704,1759070327.1929998,1759069423.739,1759070327.1929998,True,True,True,True
tyy,2025_09_28_14_40_01,1,1,1,原始车辆数据/tyy/Entity_Recording_2025_09_28_14_40_01_vehicle.csv,原始生理数据/tyy/Entity_Recording_2025_09_28_14_40_01_physio.csv,原始脑电数据/tyy/Entity_Recording_2025_09_28_14_40_01_eeg.csv,1759070402.129,1759070587.704,1759070402.1169999,1759070587.7059999,1759070402.1529999,1759070587.705,True,True,True,True
tyy,2025_09_28_14_44_09,1,1,1,原始车辆数据/tyy/Entity_Recording_2025_09_28_14_44_09_vehicle.csv,原始生理数据/tyy/Entity_Recording_2025_09_28_14_44_09_physio.csv,原始脑电数据/tyy/Entity_Recording_2025_09_28_14_44_09_eeg.csv,1759070649.403,1759071224.044,1759070649.403,1759071224.048,1759070649.425,1759071224.048,True,True,True,True
tyy,2025_09_28_14_57_17,1,1,1,原始车辆数据/tyy/Entity_Recording_2025_09_28_14_57_17_vehicle.csv,原始生理数据/tyy/Entity_Recording_2025_09_28_14_57_17_physio.csv,原始脑电数据/tyy/Entity_Recording_2025_09_28_14_57_17_eeg.csv,1759071437.5100002,1759071884.175,1759071437.517,1759071884.177,1759071437.5310001,1759071884.177,True,True,True,True
xst,2025_09_26_11_34_18,1,1,1,原始车辆数据/xst/Entity_Recording_2025_09_26_11_34_18_vehicle.csv,原始生理数据/xst/Entity_Recording_2025_09_26_11_34_18_physio.csv,原始脑电数据/xst/Entity_Recording_2025_09_26_11_34_18_eeg.csv,1758886458.8899999,1758887201.761,1758886458.881,1758887201.764,1758886458.8990002,1758887201.764,True,True,True,True
yyl,2025_09_28_09_14_23,1,1,1,原始车辆数据/yyl/Entity_Recording_2025_09_28_09_14_23_vehicle.csv,原始生理数据/yyl/Entity_Recording_2025_09_28_09_14_23_physio.csv,原始脑电数据/yyl/Entity_Recording_2025_09_28_09_14_23_eeg.csv,1759050864.339,1759051643.304,1759050864.3100002,1759051643.3049998,1759050864.4190001,1759051643.3049998,True,True,True,True
