sample_id,formal_rmse,gt_peak_abs,selected_rmse,delta_selected_minus_formal
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000176245__pre2_label2_old_main,0.6209803223609924,1.2744419574737549,0.3720237910747528,-0.24895653128623962
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700__pre2_label2_old_main,0.9944385290145874,1.9839180707931519,0.6142527461051941,-0.3801857829093933
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000246255__pre2_label2_old_main,0.6659405827522278,1.1740800142288208,0.21236221492290497,-0.4535783678293228
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000301790__pre2_label2_old_main,0.3128233850002289,1.161865472793579,0.3531685173511505,0.04034513235092163
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000326390__pre2_label2_old_main,0.7180445790290833,1.3761889934539795,0.5840758681297302,-0.13396871089935303
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000345860__pre2_label2_old_main,0.6529093384742737,0.9915213584899902,0.33525440096855164,-0.31765493750572205
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670__pre2_label2_old_main,0.7953636050224304,2.461432933807373,1.3308805227279663,0.5355169177055359
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000429895__pre2_label2_old_main,0.5305851101875305,0.8702206611633301,0.3334910571575165,-0.19709405303001404
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000530990__pre2_label2_old_main,0.5089722275733948,0.2900730073451996,0.2285022735595703,-0.28046995401382446
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890__pre2_label2_old_main,1.1041945219039917,2.333853006362915,0.5713596940040588,-0.5328348278999329
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000078030__pre2_label2_old_main,0.7583597302436829,1.15540611743927,0.52003413438797,-0.2383255958557129
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000153840__pre2_label2_old_main,0.3580816090106964,0.017628014087677002,0.05425933003425598,-0.30382227897644043
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000228005__pre2_label2_old_main,0.8054671287536621,1.7652308940887451,1.0087239742279053,0.20325684547424316
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000253780__pre2_label2_old_main,0.4368285834789276,0.7311182618141174,0.3035370409488678,-0.13329154253005981
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000388005__pre2_label2_old_main,0.5091002583503723,0.45308682322502136,0.33440127968788147,-0.17469897866249084
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000449365__pre2_label2_old_main,0.6201906204223633,0.9201385974884033,0.38986736536026,-0.23032325506210327
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000471655__pre2_label2_old_main,0.14861859381198883,0.5304062366485596,0.3026686906814575,0.1540500968694687
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000503195__pre2_label2_old_main,0.8517546057701111,0.6916792392730713,0.41697102785110474,-0.43478357791900635
