seed,fold,population,model,channel,windows,mae,rmse,endpoint_mae
20260902,1,low_mu_v2_70,hold,steer_deg,26,3.041592121124268,5.656271934509277,3.823478937149048
20260902,1,low_mu_v2_70,hold,brake,26,0.0064327120780944,0.0280360914766788,0.0101387780159711
20260902,1,low_mu_v2_70,hold,accelerator,26,0.064325638115406,0.1257041096687317,0.085752859711647
20260902,1,low_mu_v2_70,hold,speed_kmh,26,0.4922993183135986,0.934200882911682,0.955128014087677
20260902,1,low_mu_v2_70,hold,action_macro,26,0.6744951009750366,1.6242696046829224,0.894176185131073
20260902,1,low_mu_v2_70,linear,steer_deg,26,7.297981262207031,15.51805305480957,12.62665843963623
20260902,1,low_mu_v2_70,linear,brake,26,0.0328377559781074,0.0382429473102092,0.0392779111862182
20260902,1,low_mu_v2_70,linear,accelerator,26,0.0927116423845291,0.1732793897390365,0.1382278650999069
20260902,1,low_mu_v2_70,linear,speed_kmh,26,0.1880306154489517,0.4211626052856445,0.4411161541938782
20260902,1,low_mu_v2_70,linear,action_macro,26,1.3235281705856323,2.7219908237457275,2.02514910697937
20260902,1,low_mu_v2_70,extra_trees,steer_deg,26,2.453174352645874,3.515716075897217,2.9495084285736084
20260902,1,low_mu_v2_70,extra_trees,brake,26,0.0082629052922129,0.0258494690060615,0.0146257216110825
20260902,1,low_mu_v2_70,extra_trees,accelerator,26,0.0697936564683914,0.1188024133443832,0.09245266020298
20260902,1,low_mu_v2_70,extra_trees,speed_kmh,26,0.2076061964035034,0.3266015946865082,0.4343502223491668
20260902,1,low_mu_v2_70,extra_trees,action_macro,26,0.6839221119880676,1.4614256620407104,0.9104897975921632
20260902,1,low_mu_v2_70,transformer,steer_deg,26,3.075843334197998,4.324042320251465,3.345951557159424
20260902,1,low_mu_v2_70,transformer,brake,26,0.0078253857791423,0.0261853076517581,0.0118996072560548
20260902,1,low_mu_v2_70,transformer,accelerator,26,0.0644113048911094,0.1206301152706146,0.0829596519470214
20260902,1,low_mu_v2_70,transformer,speed_kmh,26,0.2329755276441574,0.4055859446525574,0.4493966698646545
20260902,1,low_mu_v2_70,transformer,action_macro,26,0.6866340637207031,1.5102771520614624,0.8554585576057434
20260902,1,low_mu_v2_70,et_transformer_residual,steer_deg,26,2.5914976596832275,3.783022165298462,3.135804414749145
20260902,1,low_mu_v2_70,et_transformer_residual,brake,26,0.0078829498961567,0.0219933688640594,0.0117639992386102
20260902,1,low_mu_v2_70,et_transformer_residual,accelerator,26,0.0632359385490417,0.1198058053851127,0.0841520354151725
20260902,1,low_mu_v2_70,et_transformer_residual,speed_kmh,26,0.1821137368679046,0.298288881778717,0.3884221613407135
20260902,1,low_mu_v2_70,et_transformer_residual,action_macro,26,0.6468923687934875,1.4727872610092163,0.8484939336776733
20260902,1,high_dynamic_not_started,hold,steer_deg,2266,12.915416717529297,33.95083999633789,27.57421112060547
20260902,1,high_dynamic_not_started,hold,brake,2266,0.0520484149456024,0.1196254715323448,0.089381031692028
20260902,1,high_dynamic_not_started,hold,accelerator,2266,0.0374882631003856,0.118677370250225,0.0781068205833435
20260902,1,high_dynamic_not_started,hold,speed_kmh,2266,4.004502296447754,6.384419918060303,7.211670875549316
20260902,1,high_dynamic_not_started,hold,action_macro,2266,1.4579389095306396,4.376612663269043,2.954866647720337
20260902,1,high_dynamic_not_started,linear,steer_deg,2266,13.246702194213867,34.031982421875,28.280925750732425
