split,sample_id,label_diag__broad_oracle_model,selected_model,policy_name,selector_confidence,oracle_short,selected_short
train,vehicle_instability_allraw__yyl__2025_09_28_09_39_01__000375965__pre3_label3_response_coverage,topk_vehicle_transformer_branch2_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.286526984082189,branch2,rbf
train,vehicle_instability_allraw__yyl__2025_09_28_09_39_01__000513705__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.2753336750363736,rbf,rbf
test,vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000062885__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.2590779017920295,rbf,rbf
test,vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000327680__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.2906880863761136,rbf,rbf
test,vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000484470__pre3_label3_response_coverage,topk_vehicle_transformer_branch2_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.28564565366083494,branch2,rbf
train,vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000183010__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.29217201510814816,rbf,rbf
train,vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000195245__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.40458039098281035,rbf,rbf
train,vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000216065__pre3_label3_response_coverage,topk_vehicle_transformer_branch2_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.38916669607419135,branch2,rbf
train,vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000407925__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.29204200331799707,rbf,rbf
train,vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000418350__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.38682941258841086,rbf,rbf
train,vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000455460__pre3_label3_response_coverage,topk_vehicle_transformer_branch0_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.36772165409775,branch0,rbf
train,vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000524525__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.29943076753421866,rbf,rbf
train,vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000543975__pre3_label3_response_coverage,topk_vehicle_transformer_branch0_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.413067312303985,branch0,rbf
train,vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000573090__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.4240429942993598,rbf,rbf
val,vehicle_instability_allraw__yzy__2025_09_27_14_26_04__000075085__pre3_label3_response_coverage,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.3490318847115953,keypoint,rbf
val,vehicle_instability_allraw__yzy__2025_09_27_14_26_04__000205385__pre3_label3_response_coverage,topk_vehicle_transformer_branch0_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.2945322486442122,branch0,rbf
val,vehicle_instability_allraw__yzy__2025_09_27_14_26_04__000385650__pre3_label3_response_coverage,topk_vehicle_transformer_branch0_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.26785169346393084,branch0,rbf
val,vehicle_instability_allraw__yzy__2025_09_27_14_26_04__000428685__pre3_label3_response_coverage,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.27434878378705596,keypoint,rbf
val,vehicle_instability_allraw__yzy__2025_09_27_14_37_08__000213665__pre3_label3_response_coverage,topk_vehicle_transformer_branch1_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.31637547969660734,branch1,rbf
val,vehicle_instability_allraw__yzy__2025_09_27_14_37_08__000269385__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.25350071502247645,rbf,rbf
val,vehicle_instability_allraw__yzy__2025_09_27_14_37_08__000376440__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.26851990426879113,rbf,rbf
train,vehicle_instability_allraw__yzy__2025_09_27_15_04_26__000063290__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.2760883556490643,rbf,rbf
train,vehicle_instability_allraw__yzy__2025_09_27_15_07_57__000162845__pre3_label3_response_coverage,topk_vehicle_transformer_branch2_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.3750695399075537,branch2,rbf
train,vehicle_instability_allraw__yzy__2025_09_27_15_07_57__000292475__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.2430896225581349,rbf,rbf
train,vehicle_instability_allraw__yzy__2025_09_27_15_07_57__000328880__pre3_label3_response_coverage,topk_vehicle_transformer_branch2_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.35204599094341793,branch2,rbf
train,vehicle_instability_allraw__yzy__2025_09_27_15_07_57__000358900__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.3365789741522141,rbf,rbf
train,vehicle_instability_allraw__yzy__2025_09_27_15_07_57__000447025__pre3_label3_response_coverage,topk_vehicle_transformer_branch0_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.3489011245729188,branch0,rbf
train,vehicle_instability_allraw__zdq__2025_09_26_15_14_51__000239960__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.3508594278298188,rbf,rbf
