window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id,policy_name,rbf_ref_rmse,rbf_ref_wrong_side,rbf_ref_large_recall,rbf_ref_difficult_rmse,rmse_delta_vs_rbf,wrong_side_delta_vs_rbf,large_recall_delta_vs_rbf,difficult_rmse_delta_vs_rbf
pre3_label3_response_coverage,session_level_split,train,logreg_balanced_c0_2,188,0.3955700539612714,0.9095744680851063,0.09042553191489362,0.9148936170212766,0.31453570634364447,1.0325195964783591,0.07446808510638298,0.3911170153383245,0.3242553188861843,0.24390254922005586,0.15425531914893617,0.1702127659574468,0.19148936170212766,0.925531914893617,0.6542553191489362,0.5339386847175361,B_response3s_strict_core,logreg_balanced_c0_2,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.0654590941094757,0.03191489361702128,0.0,0.013246585941515177
pre3_label3_response_coverage,session_level_split,val,logreg_balanced_c0_2,42,0.6016782343210175,0.9047619047619048,0.09523809523809523,0.5,0.5363137353034246,2.07654355200226,0.19047619047619047,0.5034523741120384,0.5504761896584005,0.2840397258655035,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.9285714285714286,0.5714285714285714,0.843493994538474,B_response3s_strict_core,logreg_balanced_c0_2,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.030196009540509716,-0.023809523809523808,0.0,-0.0674385491589512
pre3_label3_response_coverage,session_level_split,test,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.35,40,0.5357124031050837,0.875,0.125,0.75,0.45138748064637185,1.3531942414586624,0.15,0.4046249970793724,0.4465000024298206,0.2520874832873233,0.125,0.175,0.175,0.95,0.625,0.6262359134303389,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.35,0.5336666894389569,0.225,0.75,0.6789069643375906,0.002045713666126825,-0.1,0.0,-0.05267105090725166
pre3_label3_response_coverage,session_level_split,train,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.35,188,0.38199258446004325,0.9095744680851063,0.09042553191489362,0.9148936170212766,0.3195283829650663,1.0241855874594774,0.06382978723404255,0.3718882918833418,0.28340425505798233,0.21330105361932433,0.12234042553191489,0.1595744680851064,0.14893617021276595,0.925531914893617,0.7393617021276596,0.5421889318288258,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.35,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.05188162460824758,0.03191489361702128,0.0,0.02149683305280481
pre3_label3_response_coverage,session_level_split,val,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.35,42,0.5759264735528657,0.9047619047619048,0.09523809523809523,0.5,0.5124080961658841,2.0772464139882425,0.19047619047619047,0.5285714318354925,0.5595238080603027,0.2767417597185288,0.09523809523809523,0.16666666666666666,0.14285714285714285,0.9285714285714286,0.7619047619047619,0.8525072165352131,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.35,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.004444248772357939,-0.023809523809523808,0.0,-0.05842532716221205
pre3_label3_response_coverage,session_level_split,test,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.45,40,0.5506234138485026,0.85,0.15,0.75,0.4368245989084244,1.3754072998193037,0.125,0.3953749969601631,0.39062500002328304,0.21105008338345216,0.075,0.15,0.1,0.95,0.775,0.6247905118736176,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.45,0.5336666894389569,0.225,0.75,0.6789069643375906,0.016956724409545654,-0.07500000000000001,0.0,-0.05411645246397301
pre3_label3_response_coverage,session_level_split,train,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.45,188,0.34363641060131006,0.9095744680851063,0.09042553191489362,0.9148936170212766,0.3073064871726835,0.9811423317890378,0.047872340425531915,0.3412499975492346,0.23662233913436215,0.16573957126170266,0.09574468085106383,0.12234042553191489,0.10106382978723404,0.925531914893617,0.851063829787234,0.4973041941930846,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.45,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.01352545074951439,0.03191489361702128,0.0,-0.02338790458293638
pre3_label3_response_coverage,session_level_split,val,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.45,42,0.5794459599930527,0.8809523809523809,0.11904761904761904,0.5,0.5237252272310711,3.244242210957528,0.23809523809523808,0.5205952376127243,0.47952380696577684,0.22879879074614673,0.047619047619047616,0.16666666666666666,0.07142857142857142,0.9285714285714286,0.9285714285714286,0.8704502890392852,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.45,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.007963735212544898,0.0,0.0,-0.04048225465813993
pre3_label3_response_coverage,session_level_split,test,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.55,40,0.5597029768270947,0.8,0.2,0.75,0.4639013305306435,1.3265019775122457,0.15,0.4274999961256981,0.35562499838415534,0.1998886859742924,0.075,0.125,0.025,0.95,0.85,0.6408695998149389,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.55,0.5336666894389569,0.225,0.75,0.6789069643375906,0.02603628738813779,-0.024999999999999994,0.0,-0.03803736452265172
pre3_label3_response_coverage,session_level_split,train,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.55,188,0.3358081247059849,0.9148936170212766,0.0851063829787234,0.9361702127659575,0.303367781155604,0.9617284874527386,0.03723404255319149,0.32566489081116434,0.2141489346927785,0.13676773834239161,0.05319148936170213,0.0851063829787234,0.0851063829787234,0.925531914893617,0.9095744680851063,0.5014026550931627,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.55,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.005697164854189252,0.02659574468085106,0.021276595744680882,-0.01928944368285823
