seed,fold,model,subject_alias,recording_alias,time_block_id,windows,action_nmae
20260902,1,hold,S002,R017,R017-B0032,50,0.43045327067375183
20260902,1,hold,S002,R017,R017-B0033,50,0.46312323212623596
20260902,1,hold,S002,R017,R017-B0034,50,0.2550179362297058
20260902,1,hold,S002,R017,R017-B0035,50,0.3236944079399109
20260902,1,hold,S002,R017,R017-B0036,50,0.49952879548072815
20260902,1,hold,S002,R017,R017-B0037,50,1.428481101989746
20260902,1,hold,S002,R017,R017-B0038,50,0.6573688983917236
20260902,1,hold,S002,R017,R017-B0039,50,0.46505096554756165
20260902,1,hold,S002,R017,R017-B0040,50,0.5590483546257019
20260902,1,hold,S002,R017,R017-B0041,50,0.3524076044559479
20260902,1,hold,S002,R017,R017-B0042,50,0.7095712423324585
20260902,1,hold,S002,R017,R017-B0043,50,0.5503236055374146
20260902,1,hold,S002,R017,R017-B0044,50,0.9614003896713257
20260902,1,hold,S002,R017,R017-B0045,50,0.6775895953178406
20260902,1,hold,S002,R017,R017-B0046,50,0.19960424304008484
20260902,1,hold,S002,R017,R017-B0047,50,0.4716182351112366
20260902,1,hold,S002,R017,R017-B0048,50,1.0862904787063599
20260902,1,hold,S002,R017,R017-B0049,50,0.990149736404419
20260902,1,hold,S002,R017,R017-B0050,18,0.10169382393360138
20260902,1,hold,S008,R052,R052-B0000,40,0.6419357657432556
20260902,1,hold,S008,R052,R052-B0001,50,0.6118211150169373
20260902,1,hold,S008,R052,R052-B0002,50,0.3762814402580261
20260902,1,hold,S008,R052,R052-B0003,50,0.34564408659935
20260902,1,hold,S008,R052,R052-B0004,50,0.39518845081329346
20260902,1,hold,S008,R052,R052-B0005,50,0.34053337574005127
20260902,1,hold,S008,R052,R052-B0006,50,0.24613700807094574
20260902,1,hold,S008,R052,R052-B0007,50,0.2857266366481781
20260902,1,hold,S008,R052,R052-B0008,50,0.3194076418876648
20260902,1,hold,S008,R052,R052-B0009,50,1.0123182535171509
20260902,1,hold,S008,R052,R052-B0010,50,0.6579452753067017
20260902,1,hold,S008,R052,R052-B0011,50,0.44076961278915405
20260902,1,hold,S008,R052,R052-B0012,50,1.8676238059997559
20260902,1,hold,S008,R052,R052-B0013,33,0.4918597936630249
20260902,1,hold,S008,R053,R053-B0000,40,0.9567278027534485
20260902,1,hold,S008,R053,R053-B0001,50,0.5921281576156616
20260902,1,hold,S008,R053,R053-B0002,50,0.5012526512145996
20260902,1,hold,S008,R053,R053-B0003,50,0.5844446420669556
20260902,1,hold,S008,R053,R053-B0004,50,0.5680657029151917
20260902,1,hold,S008,R053,R053-B0005,50,0.5991485118865967
20260902,1,hold,S008,R053,R053-B0006,50,0.46229714155197144
20260902,1,hold,S008,R053,R053-B0007,50,0.44110211730003357
20260902,1,hold,S008,R053,R053-B0008,50,1.633947491645813
20260902,1,hold,S008,R053,R053-B0009,25,1.289194941520691
20260902,1,hold,S008,R054,R054-B0000,40,0.8384115099906921
20260902,1,hold,S008,R054,R054-B0001,50,0.6399759650230408
20260902,1,hold,S008,R054,R054-B0002,50,0.3598484396934509
20260902,1,hold,S008,R054,R054-B0003,50,0.4381541907787323
20260902,1,hold,S008,R054,R054-B0004,50,0.36669468879699707
20260902,1,hold,S008,R054,R054-B0005,50,0.3728582262992859
20260902,1,hold,S008,R054,R054-B0006,50,0.23161892592906952
20260902,1,hold,S008,R054,R054-B0007,50,0.28550267219543457
20260902,1,hold,S008,R054,R054-B0008,50,0.28671181201934814
20260902,1,hold,S008,R054,R054-B0009,50,0.3793603479862213
20260902,1,hold,S008,R054,R054-B0010,50,0.632448673248291
20260902,1,hold,S008,R054,R054-B0011,27,0.5205603241920471
20260902,1,hold,S008,R055,R055-B0000,40,0.8404222726821899
20260902,1,hold,S008,R055,R055-B0001,50,0.8315942287445068
20260902,1,hold,S008,R055,R055-B0002,48,0.3421388864517212
20260902,1,hold,S008,R055,R055-B0004,1,0.2765282690525055
20260902,1,hold,S008,R055,R055-B0005,12,0.30908215045928955
20260902,1,hold,S008,R055,R055-B0006,50,0.274760901927948
20260902,1,hold,S008,R055,R055-B0007,50,0.8353249430656433
20260902,1,hold,S008,R055,R055-B0008,50,0.4997570812702179
20260902,1,hold,S008,R055,R055-B0009,50,1.1207830905914307
20260902,1,hold,S008,R055,R055-B0010,29,0.6083080172538757
20260902,1,hold,S008,R056,R056-B0000,40,1.1018580198287964
20260902,1,hold,S008,R056,R056-B0001,50,0.5582359433174133
20260902,1,hold,S008,R056,R056-B0002,50,0.34387436509132385
20260902,1,hold,S008,R056,R056-B0003,50,0.29743874073028564
20260902,1,hold,S008,R056,R056-B0004,50,0.29713258147239685
20260902,1,hold,S008,R056,R056-B0005,50,0.45013970136642456
20260902,1,hold,S008,R056,R056-B0006,50,0.263454407453537
20260902,1,hold,S008,R056,R056-B0007,50,0.34587588906288147
20260902,1,hold,S008,R056,R056-B0008,50,0.27379390597343445
20260902,1,hold,S008,R056,R056-B0009,50,1.5957551002502441
20260902,1,hold,S008,R056,R056-B0010,21,2.3108561038970947
