window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id,rbf_ref_rmse,rbf_ref_wrong_side,rbf_ref_large_recall,rbf_ref_difficult_rmse,rmse_delta_vs_rbf,wrong_side_delta_vs_rbf,large_recall_delta_vs_rbf,difficult_rmse_delta_vs_rbf
pre3_label3_response_coverage,session_level_split,val,keypoint_residual_vehicle_transformer_no_subject,42,0.5983004641535546,0.9047619047619048,0.09523809523809523,0.5,0.5912717589665026,2.7175859572586596,0.23809523809523808,0.5014285750332332,0.7934523794267859,0.20815568596368567,0.047619047619047616,0.40476190476190477,0.047619047619047616,0.9285714285714286,0.0,0.95711332634618,B_response3s_strict_core,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.026818239373046837,-0.023809523809523808,0.0,0.0461807826487548
pre3_label3_response_coverage,session_level_split,val,proto_amplitude,42,0.7683062277762424,0.5952380952380952,0.40476190476190477,0.0,1.0184139705130033,0.4308129895530578,0.9047619047619048,0.5511904607216517,1.998452387572754,0.20318645517164396,0.11904761904761904,0.42857142857142855,0.023809523809523808,0.9285714285714286,0.5952380952380952,1.273463335472711,B_response3s_strict_core,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.19682400299573455,0.2857142857142857,-0.5,0.3625307917752858
pre3_label3_response_coverage,session_level_split,val,proto_combo_full,42,0.6631035201082031,0.9047619047619048,0.09523809523809523,0.6,0.5927248114631289,2.426121920902655,0.21428571428571427,0.4677380940743855,0.5519047575071454,0.21185788392488444,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.9285714285714286,1.0,0.9831601206119585,B_response3s_strict_core,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.09162129532769525,-0.023809523809523808,0.09999999999999998,0.0722275769145333
pre3_label3_response_coverage,session_level_split,val,proto_correction,42,0.7756669461030429,0.4523809523809524,0.5476190476190477,0.0,1.0467709107767968,0.550837067666523,0.9047619047619048,0.9273809542258581,1.9688095232205731,0.20704101691011428,0.09523809523809523,0.11904761904761904,0.0,0.9285714285714286,1.0,1.2858880930339076,B_response3s_strict_core,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.20418472132253507,0.4285714285714286,-0.5,0.37495554933648245
pre3_label3_response_coverage,session_level_split,val,proto_direction_amp,42,0.6545562385604177,0.9047619047619048,0.09523809523809523,0.5,0.6230905935877845,2.109722776570302,0.2619047619047619,0.4330952415863673,0.6361904793995476,0.2072971807349296,0.09523809523809523,0.09523809523809523,0.11904761904761904,0.9285714285714286,1.0,0.993870410075408,B_response3s_strict_core,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.08307401377990986,-0.023809523809523808,0.0,0.08293786637798284
pre3_label3_response_coverage,session_level_split,val,proto_peak_tail,42,0.7712207014535901,0.40476190476190477,0.5952380952380952,0.0,1.0484382996246928,0.5450556774083287,0.9047619047619048,1.0111904761620931,2.0130952381129776,0.20538184146529861,0.07142857142857142,0.09523809523809523,0.023809523809523808,0.9285714285714286,1.0,1.2713082717233688,B_response3s_strict_core,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.1997384766730823,0.47619047619047616,-0.5,0.36037572802594364
pre3_label3_response_coverage,session_level_split,val,proto_tail_correction,42,0.7796928650523911,0.40476190476190477,0.5952380952380952,0.0,1.045761638808818,0.5837956435736634,0.9047619047619048,0.932023809779258,2.0772619039884637,0.20572964845424785,0.09523809523809523,0.09523809523809523,0.023809523809523808,0.9285714285714286,0.9523809523809523,1.2930495552338799,B_response3s_strict_core,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.2082106402718833,0.47619047619047616,-0.5,0.3821170115364547
pre3_label3_response_coverage,session_level_split,val,rbf_kernel_ridge_context_no_subject,42,0.5714822247805078,0.8809523809523809,0.11904761904761904,0.5,0.5098802603937641,3.109326650188326,0.21428571428571427,0.5198809525796345,0.5092857141225111,0.20645945040390648,0.047619047619047616,0.11904761904761904,0.023809523809523808,0.9285714285714286,0.9523809523809523,0.9109325436974252,B_response3s_strict_core,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.0,0.0,0.0,0.0
pre3_label3_response_coverage,session_level_split,val,response_factorized_oracle,42,0.4691079742935841,0.8809523809523809,0.11904761904761904,0.6,0.48767485256705967,0.8306560316200308,0.38095238095238093,0.39666665097077686,0.6479761941092355,0.20520910146712726,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.9285714285714286,0.8809523809523809,0.7970924646696166,B_response3s_strict_core,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,-0.10237425048692372,0.0,0.09999999999999998,-0.11384007902780857
pre3_label3_response_coverage,session_level_split,val,response_factorized_plus_existing_oracle,42,0.42858376919381597,0.9285714285714286,0.07142857142857142,0.7,0.4168750381185895,0.9386217317374572,0.23809523809523808,0.3615476056223824,0.44678571288074764,0.21161564391305937,0.16666666666666666,0.09523809523809523,0.09523809523809523,0.9285714285714286,0.6904761904761905,0.7322630392756169,B_response3s_strict_core,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,-0.14289845558669184,-0.047619047619047616,0.19999999999999996,-0.1786695044218083
